,name,maxAgentDensity,oxygenDiffusivity,vegfDiffusivity,G1,S,G2,M,endothelialDivisionDelay,minimumVegfConcentration,baseOxygenEmissionRate,minHIF,maxHIF,ultraHypoxicThreshold,hypoxicThreshold,minPSynthesis,minimumOxygenConcentration,baseHifRate,numCancerCells,numEndothelialCells,glucoseDiffusivity,glucoseSecretionRate,minGlucoseUptakeRate,maxGlucoseUptakeRate,pWarburgSwitch,enhancedHypoxicThreshold,minGlucoseWarburg,baseOxygenMetabolicRate,minGlucoseNonWarburg,healthyTissueOxygenUptakeRate,dt,diffusionSolveIterations,envSize
1239,experiments_011019_hyp_testing_full_pws_0.2_moc_12_39,70,0.2966853674,0.0001,7,2,10,1,10,3.9605836287000002,40,0,16,3,20,0.8095921006,12,1,15,1,0.0008643483999999999,190,10,17.979415764400002,0.2,75,14.1314379404,25,3.4756807113,25,4500,10,20
1240,experiments_011019_hyp_testing_full_pws_0.2_moc_12_40,70,0.1399572391,0.0001,7,2,10,1,10,5.1390228073,40,0,16,3,20,0.5259282640999999,12,1,15,1,0.0014032384,190,10,22.061976912,0.2,75,14.9219049855,25,9.6183338855,25,4500,10,20
1241,experiments_011019_hyp_testing_full_pws_0.2_moc_12_41,70,0.32976421219999996,0.0001,7,2,10,1,10,4.392120229800001,40,0,16,3,20,0.6594589727,12,1,11,1,0.0012081746,190,10,22.4210882525,0.2,75,17.2590822463,25,7.8466605857000005,25,4500,10,20
1242,experiments_011019_hyp_testing_full_pws_0.2_moc_12_42,70,0.3435914486,0.0001,7,2,10,1,10,6.3357389674,40,0,16,3,20,0.7595743698999999,12,1,15,1,0.0010948465,190,10,18.53782157,0.2,75,10.4223014471,25,6.348141693400001,25,4500,10,20
1243,experiments_011019_hyp_testing_full_pws_0.2_moc_12_43,70,0.3205758066,0.0001,7,2,10,1,10,4.6972419353,40,0,16,3,20,0.5919919325,12,1,15,1,0.0007266567,190,10,20.8334517783,0.2,75,13.992808795999998,25,9.2361464333,25,4500,10,20
1244,experiments_011019_hyp_testing_full_pws_0.2_moc_12_44,70,0.3626545001,0.0001,7,2,10,1,10,5.280716244700001,40,0,16,3,20,0.8410295408,12,1,16,1,0.0013575229,190,10,21.4964035573,0.2,75,10.032404700499999,25,7.6332829938,25,4500,10,20
1245,experiments_011019_hyp_testing_full_pws_0.2_moc_12_45,70,0.4240329221,0.0001,7,2,10,1,10,5.510008415900001,40,0,16,3,20,0.4032687726,12,1,15,1,0.0008722492,190,10,17.8250873813,0.2,75,19.1241981405,25,5.3803232386,25,4500,10,20
1246,experiments_011019_hyp_testing_full_pws_0.2_moc_12_46,70,0.4164192753,0.0001,7,2,10,1,10,4.2759191665,40,0,16,3,20,0.4756512675,12,1,14,1,0.0009303521000000001,190,10,21.8563615431,0.2,75,16.618381182,25,0.19788620780000002,25,4500,10,20
1247,experiments_011019_hyp_testing_full_pws_0.2_moc_12_47,70,0.1816076847,0.0001,7,2,10,1,10,4.7161822639999995,40,0,16,3,20,0.573939193,12,1,18,1,0.0011265108000000001,190,10,17.3566115391,0.2,75,15.7144138007,25,7.768985401699999,25,4500,10,20
1248,experiments_011019_hyp_testing_full_pws_0.2_moc_12_48,70,0.3968717005,0.0001,7,2,10,1,10,7.3060109221000005,40,0,16,3,20,0.3969741042,12,1,13,1,0.0001186833,190,10,20.2458203028,0.2,75,10.9831977999,25,6.645255238300001,25,4500,10,20
1249,experiments_011019_hyp_testing_full_pws_0.2_moc_12_49,70,0.2868972134,0.0001,7,2,10,1,10,4.4449601329,40,0,16,3,20,0.48258067450000003,12,1,14,1,0.0009180669,190,10,18.816533246400002,0.2,75,12.8850542602,25,0.0,25,4500,10,20
